pais;codigo;continente;ano;expectativa_vida;pib_per_capita;populacao
Afghanistan;AFG;Asia;1960;32,5;1326;8622473
Albania;ALB;Europe;1960;54,4;2313;1711189
Algeria;DZA;Africa;1960;40,5;3328;11394309
Angola;AGO;Africa;1960;38,2;1997;5357201
Argentina;ARG;South America;1960;64;8861;20349748
Australia;AUS;Oceania;1960;70,9;14013;10286648
Austria;AUT;Europe;1960;68,7;10391;7046554
Bahrain;BHR;Asia;1960;50,3;4532;160702
Bangladesh;BGD;Asia;1960;44,7;869;50396428
Barbados;BRB;North America;1960;64,6;5316;232560
Belgium;BEL;Europe;1960;69,6;11081;9108729
Benin;BEN;Africa;1960;38,2;1468;2512290
Bolivia;BOL;South America;1960;43,1;2560;3707520
Bosnia and Herzegovina;BIH;Europe;1960;61;2871;3262540
Botswana;BWA;Africa;1960;50,4;564;512874
Brazil;BRA;South America;1960;52,7;3398;73092520
Bulgaria;BGR;Europe;1960;69,2;4642;7891763
Burkina Faso;BFA;Africa;1960;35,9;971;4783261
Burundi;BDI;Africa;1960;43;733;2746633
Cambodia;KHM;Asia;1960;42,4;1070;5541679
Cameroon;CMR;Africa;1960;34,8;1326;5117606
Canada;CAN;North America;1960;71;13952;17909358
Cape Verde;CPV;Africa;1960;49,4;1135;209856
Central African Republic;CAF;Africa;1960;39,2;1567;1679735
Chad;TCD;Africa;1960;38,4;974;3028688
Chile;CHL;South America;1960;57;6781;8141826
China;CHN;Asia;1960;33,3;1057;654170688
Colombia;COL;South America;1960;57,1;3980;15687692
Comoros;COM;Africa;1960;39,7;679;194864
Congo;COG;Africa;1960;48;1999;1055696
Costa Rica;CRI;North America;1960;60,4;4328;1346310
Cote d'Ivoire;CIV;Africa;1960;38,1;2002;3708671
Croatia;HRV;Europe;1960;65,6;5067;4215334
Cuba;CUB;North America;1960;64,2;2994;7267396
Cyprus;CYP;Europe;1960;64,2;3496;585727
Democratic Republic of Congo;COD;Africa;1960;40,9;1192;15276558
Denmark;DNK;Europe;1960;72,2;14046;4581730
Djibouti;DJI;Africa;1960;43,4;4087;85956
Dominica;DMA;North America;1960;59;1245;59396
Dominican Republic;DOM;North America;1960;50,3;2075;3298024
Ecuador;ECU;South America;1960;53,4;3649;4618160
Egypt;EGY;Africa;1960;45,4;1580;27034500
El Salvador;SLV;North America;1960;48,1;2813;2779332
Equatorial Guinea;GNQ;Africa;1960;41,7;1101;267359
Eswatini;SWZ;Africa;1960;45,8;783;345074
Ethiopia;ETH;Africa;1960;40,3;701;21739718
Finland;FIN;Europe;1960;69;9931;4430178
France;FRA;Europe;1960;70,4;11792;45659572
Gabon;GAB;Africa;1960;46,6;3982;513346
Gambia;GMB;Africa;1960;35,1;1167;399656
Germany;DEU;Europe;1960;69,2;12282;73063696
Ghana;GHA;Africa;1960;47,1;2197;6911514
Greece;GRC;Europe;1960;69,4;5015;8495419
Guatemala;GTM;North America;1960;45,8;3496;4098362
Guinea;GIN;Africa;1960;36,5;671;3516819
Guinea-Bissau;GNB;Africa;1960;37,5;800;577942
Haiti;HTI;North America;1960;43,5;1809;3901147
Honduras;HND;North America;1960;48,3;2147;2078624
Hong Kong;HKG;Asia;1960;66,2;5088;3114676
Hungary;HUN;Europe;1960;68,1;5816;9982618
Iceland;ISL;Europe;1960;73,8;10959;175583
India;IND;Asia;1960;45,2;1200;445954560
Indonesia;IDN;Asia;1960;46,5;1613;88382888
Iran;IRN;Asia;1960;44;3437;21388810
Iraq;IRQ;Asia;1960;52,6;4360;7084683
Ireland;IRL;Europe;1960;70,2;6825;2811075
Israel;ISR;Asia;1960;70,4;7433;1902260
Italy;ITA;Europe;1960;69,2;9430;49517708
Jamaica;JAM;North America;1960;64;4230;1642331
Japan;JPN;Asia;1960;67,7;6354;94464840
Jordan;JOR;Asia;1960;52,6;3714;847944
Kenya;KEN;Africa;1960;48,7;1157;7751440
Kuwait;KWT;Asia;1960;56,9;45929;305422
Laos;LAO;Asia;1960;40,8;771;2122537
Lebanon;LBN;Asia;1960;64,8;5812;1798095
Lesotho;LSO;Africa;1960;50,4;813;737851
Liberia;LBR;Africa;1960;38,3;3674;1137030
Libya;LBY;Africa;1960;40,3;1323;1426984
Luxembourg;LUX;Europe;1960;68,6;15870;314170
Madagascar;MDG;Africa;1960;43,2;1793;5073347
Malawi;MWI;Africa;1960;35,2;628;3621087
Malaysia;MYS;Asia;1960;56,5;2439;7833788
Mali;MLI;Africa;1960;29,8;851;5346797
Malta;MLT;Europe;1960;68,3;2383;337632
Mauritania;MRT;Africa;1960;44,8;913;838486
Mauritius;MUS;Africa;1960;55,3;4396;676690
Mexico;MEX;North America;1960;55;4723;36268048
Mongolia;MNG;Asia;1960;45;912;977906
Montenegro;MNE;Europe;1960;65;2439;473055
Morocco;MAR;Africa;1960;42;2118;11769782
Mozambique;MOZ;Africa;1960;41,2;2115;6788377
Myanmar;MMR;Asia;1960;43,9;899;21720702
Namibia;NAM;Africa;1960;47,7;4855;590188
Nepal;NPL;Asia;1960;38,6;980;10167941
Netherlands;NLD;Europe;1960;73,4;13209;11493124
New Zealand;NZL;Oceania;1960;71,2;15087;2381191
Nicaragua;NIC;North America;1960;46,1;3148;1789695
Niger;NER;Africa;1960;36,4;1213;3497438
Nigeria;NGA;Africa;1960;37,4;1307;44928336
North Macedonia;MKD;Europe;1960;56,2;3586;1462373
Norway;NOR;Europe;1960;73,6;11483;3581521
Oman;OMN;Asia;1960;35,5;1490;536556
Pakistan;PAK;Asia;1960;44,9;1031;45954228
Palestine;PSE;Asia;1960;49;2248;1073847
Panama;PAN;North America;1960;60,7;3217;1126996
Paraguay;PRY;South America;1960;60,4;2346;1894835
Peru;PER;South America;1960;50,5;4733;10172210
Philippines;PHL;Asia;1960;59,2;2353;28486868
Poland;POL;Europe;1960;67,8;5125;29509902
Portugal;PRT;Europe;1960;64,2;4712;8882476
Puerto Rico;PRI;North America;1960;68,9;5451;2365078
Romania;ROU;Europe;1960;66;1605;18458012
Russia;RUS;Europe;1960;68,3;5557;119735104
Rwanda;RWA;Africa;1960;47,2;1224;2966170
Saint Lucia;LCA;North America;1960;55,7;1691;91629
Sao Tome and Principe;STP;Africa;1960;43;1352;68061
Saudi Arabia;SAU;Asia;1960;45,9;5928;4165566
Senegal;SEN;Africa;1960;39,9;2303;3273181
Serbia;SRB;Europe;1960;64;3948;6579987
Seychelles;SYC;Africa;1960;54,5;3257;43186
Sierra Leone;SLE;Africa;1960;34;1176;2301315
Singapore;SGP;Asia;1960;64,8;3464;1601091
Slovenia;SVN;Europe;1960;64,9;7165;1599581
South Africa;ZAF;Africa;1960;52,7;4847;16520438
South Korea;KOR;Asia;1960;54,3;1547,691772;25817530
Spain;ESP;Europe;1960;69,2;5037;30415594
Sri Lanka;LKA;Asia;1960;60,7;2064;9783874
Sweden;SWE;Europe;1960;73;13849;7492907
Switzerland;CHE;Europe;1960;71,4;16358,35938;5328275
Syria;SYR;Asia;1960;53,5;4819;4610717
Taiwan;TWN;Asia;1960;62,5;2157;10983152
Tanzania;TZA;Africa;1960;42,9;732;10042467
Thailand;THA;Asia;1960;51;1718;26596590
Togo;TGO;Africa;1960;42,7;1058;1651372
Trinidad and Tobago;TTO;North America;1960;63;9964;847067
Tunisia;TUN;Africa;1960;43,9;2141;4195466
Turkey;TUR;Asia;1960;50,7;3041;27510982
Uganda;UGA;Africa;1960;45,5;1137;7617751
United Kingdom;GBR;Europe;1960;71;13780;52543024
United States;USA;North America;1960;69,8;18057;176188576
Uruguay;URY;South America;1960;67,8;7643;2529028
Venezuela;VEN;South America;1960;58,6;12116;8156941
Vietnam;VNM;Asia;1960;59,7;1274;32718462
Yemen;YEM;Asia;1960;33,7;1537;5542460
Zambia;ZMB;Africa;1960;49;1530;3119431
Zimbabwe;ZWE;Africa;1960;53,2;1495;3806312
Afghanistan;AFG;Asia;1961;33,1;1309;8790140
Albania;ALB;Europe;1961;55,6;2332;1769076
Algeria;DZA;Africa;1961;40,5;2868;11598615
Angola;AGO;Africa;1961;37,3;2225;5441328
Argentina;ARG;South America;1961;64,4;9344;20680658
Australia;AUS;Oceania;1961;71,1;13793;10505940
Austria;AUT;Europe;1961;69,7;10882;7085440
Bahrain;BHR;Asia;1961;52,1;4594;166981
Bangladesh;BGD;Asia;1961;45,7;899;51882776
Barbados;BRB;North America;1961;65,3;5683;233702
Belgium;BEL;Europe;1961;70,5;11561;9168479
Benin;BEN;Africa;1961;38,5;1482;2551223
Bolivia;BOL;South America;1961;43,4;2555;3784750
Bosnia and Herzegovina;BIH;Europe;1961;61,9;2925;3325338
Botswana;BWA;Africa;1961;50,9;575;524413
Brazil;BRA;South America;1961;53,2;3585;75330008
Bulgaria;BGR;Europe;1961;70,3;4897;7969343
Burkina Faso;BFA;Africa;1961;36,2;1004;4852836
Burundi;BDI;Africa;1961;43,3;615;2815976
Cambodia;KHM;Asia;1961;42,8;1031;5664665
Cameroon;CMR;Africa;1961;35,4;1321;5200364
Canada;CAN;North America;1961;71,2;14080;18273690
Cape Verde;CPV;Africa;1961;50;1173;214794
Central African Republic;CAF;Africa;1961;39,7;1597;1710369
Chad;TCD;Africa;1961;38,6;971;3087662
Chile;CHL;South America;1961;57,5;6923;8313539
China;CHN;Asia;1961;40,5;874;655260352
Colombia;COL;South America;1961;57,7;4049;16182421
Comoros;COM;Africa;1961;40,1;671;198633
Congo;COG;Africa;1961;48,7;2020;1083432
Costa Rica;CRI;North America;1961;60,9;4340;1396142
Cote d'Ivoire;CIV;Africa;1961;38,7;2114;3848343
Croatia;HRV;Europe;1961;66,3;5404;4247853
Cuba;CUB;North America;1961;64,5;3068;7418523
Cyprus;CYP;Europe;1961;64,8;3845;594777
Democratic Republic of Congo;COD;Africa;1961;40,2;1041;15673288
Denmark;DNK;Europe;1961;72,5;14843;4613437
Djibouti;DJI;Africa;1961;43,7;4114;89284
Dominica;DMA;North America;1961;59,9;1176;60416
Dominican Republic;DOM;North America;1961;50,8;1964;3408420
Ecuador;ECU;South America;1961;53,9;3633;4751510
Egypt;EGY;Africa;1961;46;1643;27747872
El Salvador;SLV;North America;1961;48,8;2821;2858899
Equatorial Guinea;GNQ;Africa;1961;42;1191;272270
Eswatini;SWZ;Africa;1961;46,2;861;352981
Ethiopia;ETH;Africa;1961;41;722;22281678
Finland;FIN;Europe;1961;69;10613;4461532
France;FRA;Europe;1961;71;12302;46143028
Gabon;GAB;Africa;1961;47,2;4415;519337
Gambia;GMB;Africa;1961;35,6;1318;410815
Germany;DEU;Europe;1961;69,8;12675;73604352
Ghana;GHA;Africa;1961;47,3;2212;7109036
Greece;GRC;Europe;1961;70,4;5408;8526467
Guatemala;GTM;North America;1961;46,5;3532;4220371
Guinea;GIN;Africa;1961;36,7;703;3578635
Guinea-Bissau;GNB;Africa;1961;37,7;851;583119
Haiti;HTI;North America;1961;43,9;1702;3974940
Honduras;HND;North America;1961;48,7;2130;2139932
Hong Kong;HKG;Asia;1961;66,9;5169;3231766
Hungary;HUN;Europe;1961;69;6083;10025842
Iceland;ISL;Europe;1961;73,1;10728;179038
India;IND;Asia;1961;45,4;1208;456351872
Indonesia;IDN;Asia;1961;47,1;1690;90816944
Iran;IRN;Asia;1961;44,6;3622;21983630
Iraq;IRQ;Asia;1961;53,4;4720;7260718
Ireland;IRL;Europe;1961;69,6;7186;2807012
Israel;ISR;Asia;1961;70,8;7964;1983320
Italy;ITA;Europe;1961;69,8;10158;49812724
Jamaica;JAM;North America;1961;64,4;4307;1663763
Japan;JPN;Asia;1961;68,3;7055;95355464
Jordan;JOR;Asia;1961;53,7;4280;891854
Kenya;KEN;Africa;1961;49,5;1093;8047476
Kuwait;KWT;Asia;1961;58;41622;339699
Laos;LAO;Asia;1961;41,1;779;2171145
Lebanon;LBN;Asia;1961;65,3;6027;1853299
Lesotho;LSO;Africa;1961;50,4;813;760899
Liberia;LBR;Africa;1961;38,3;3663;1165008
Libya;LBY;Africa;1961;42,1;1400;1478764
Luxembourg;LUX;Europe;1961;69,3;16349;316593
Madagascar;MDG;Africa;1961;43,6;1795;5206249
Malawi;MWI;Africa;1961;35,3;644;3708197
Malaysia;MYS;Asia;1961;57,4;2538;8074800
Mali;MLI;Africa;1961;29,8;840;5420248
Malta;MLT;Europe;1961;68,1;2361;337127
Mauritania;MRT;Africa;1961;45,4;1055;861667
Mauritius;MUS;Africa;1961;56,3;5254;693252
Mexico;MEX;North America;1961;55,8;4807;37439316
Mongolia;MNG;Asia;1961;46,1;939;1011504
Montenegro;MNE;Europe;1961;65,6;2922;479342
Morocco;MAR;Africa;1961;43,8;2138;12081717
Mozambique;MOZ;Africa;1961;41,6;2131;6917531
Myanmar;MMR;Asia;1961;44,4;904;22203106
Namibia;NAM;Africa;1961;48,4;4787;601434
Nepal;NPL;Asia;1961;38,9;990;10365144
Netherlands;NLD;Europe;1961;73,6;13074;11647374
New Zealand;NZL;Oceania;1961;70,9;15533;2431619
Nicaragua;NIC;North America;1961;46,9;3277;1844635
Niger;NER;Africa;1961;36,6;1239;3602538
Nigeria;NGA;Africa;1961;37,7;1313;45855508
North Macedonia;MKD;Europe;1961;57,8;3634;1481115
Norway;NOR;Europe;1961;73,6;12106;3609997
Oman;OMN;Asia;1961;36,8;1471;546456
Pakistan;PAK;Asia;1961;45,8;1066;47060912
Palestine;PSE;Asia;1961;49,6;2287;1091756
Panama;PAN;North America;1961;61,5;3462;1160833
Paraguay;PRY;South America;1961;60,8;2396;1941220
Peru;PER;South America;1961;51,1;5008;10478101
Philippines;PHL;Asia;1961;59,6;2410;29342412
Poland;POL;Europe;1961;67,9;5461;29913228
Portugal;PRT;Europe;1961;62,8;4972;8896923
Puerto Rico;PRI;North America;1961;69,3;5859;2404222
Romania;ROU;Europe;1961;66;1725;18622908
Russia;RUS;Europe;1961;68,4;5874;121408984
Rwanda;RWA;Africa;1961;47,7;1167;3046663
Saint Lucia;LCA;North America;1961;57;1747;92783
Sao Tome and Principe;STP;Africa;1961;44,4;1454;68723
Saudi Arabia;SAU;Asia;1961;46,5;6481;4306057
Senegal;SEN;Africa;1961;39,9;2351;3367088
Serbia;SRB;Europe;1961;64,2;4038;6643717
Seychelles;SYC;Africa;1961;54,7;2995;44064
Sierra Leone;SLE;Africa;1961;34,4;1181;2341068
Singapore;SGP;Asia;1961;65,6;3623;1657557
Slovenia;SVN;Europe;1961;65,5;7760;1613630
South Africa;ZAF;Africa;1961;53,1;4929;16989468
South Korea;KOR;Asia;1961;54,9;1605,846802;26552230
Spain;ESP;Europe;1961;69,6;5587;30711868
Sri Lanka;LKA;Asia;1961;61,3;2050;10022896
Sweden;SWE;Europe;1961;73,5;14564;7536314
Switzerland;CHE;Europe;1961;71,7;17307,5625;5434674
Syria;SYR;Asia;1961;54,4;5050;4751535
Taiwan;TWN;Asia;1961;63;2228;11371858
Tanzania;TZA;Africa;1961;43,1;703;10337892
Thailand;THA;Asia;1961;52,4;1753;27399966
Togo;TGO;Africa;1961;42,9;1103;1678796
Trinidad and Tobago;TTO;North America;1961;62,9;10155;865031
Tunisia;TUN;Africa;1961;44,1;2289;4236395
Turkey;TUR;Asia;1961;51,6;3022;28255008
Uganda;UGA;Africa;1961;46,3;1093;7838441
United Kingdom;GBR;Europe;1961;70,8;14118;52861256
United States;USA;North America;1961;70,2;18175;179087280
Uruguay;URY;South America;1961;67,9;7740;2561156
Venezuela;VEN;South America;1961;59,4;12231;8453112
Vietnam;VNM;Asia;1961;60,3;1294;33621980
Yemen;YEM;Asia;1961;34,1;1545;5646674
Zambia;ZMB;Africa;1961;49,5;1495;3219454
Zimbabwe;ZWE;Africa;1961;53,6;1524;3925958
Afghanistan;AFG;Asia;1962;33,5;1302;8969055
Albania;ALB;Europe;1962;56,7;2409;1828234
