CD_MUN;municipio;nasc_vivos;obitos_infantis
2900108;Abaíra;46;1
2900207;Abaré;318;3
2900306;Acajutiba;159;4
2900355;Adustina;143;3
2900405;Água Fria;127;1
2900603;Aiquara;44;0
2900702;Alagoinhas;2136;25
2900801;Alcobaça;333;2
2900900;Almadina;59;3
2901007;Amargosa;459;1
2901106;Amélia Rodrigues;175;5
2901155;América Dourada;209;5
2901205;Anagé;241;5
2901304;Andaraí;180;4
2901353;Andorinha;177;2
2901403;Angical;184;4
2901502;Anguera;53;2
2901601;Antas;153;2
2901700;Antônio Cardoso;141;3
2901809;Antônio Gonçalves;160;1
2901908;Aporá;169;1
2901957;Apuarema;103;1
2902054;Araçás;151;2
2902005;Aracatu;158;2
2902104;Araci;661;8
2902203;Aramari;100;0
2902252;Arataca;139;1
2902302;Aratuípe;135;5
2902401;Aurelino Leal;190;6
2902500;Baianópolis;186;0
2902609;Baixa Grande;204;1
2902658;Banzaê;161;5
2902708;Barra;834;15
2902807;Barra da Estiva;421;4
2902906;Barra do Choça;540;10
2903003;Barra do Mendes;148;4
2903102;Barra do Rocha;59;0
2903201;Barreiras;2545;35
2903235;Barro Alto;156;3
2903300;Barro Preto;61;1
2903276;Barrocas;170;3
2903409;Belmonte;316;5
2903508;Belo Campo;219;7
2903607;Biritinga;214;6
2903706;Boa Nova;176;4
2903805;Boa Vista do Tupim;234;1
2903904;Bom Jesus da Lapa;1087;15
2903953;Bom Jesus da Serra;125;2
2904001;Boninal;180;1
2904050;Bonito;245;1
2904100;Boquira;247;2
2904209;Botuporã;132;2
2904308;Brejões;139;2
2904407;Brejolândia;98;2
2904506;Brotas de Macaúbas;146;2
2904605;Brumado;856;6
2904704;Buerarema;202;4
2904753;Buritirama;310;7
2904803;Caatiba;66;0
2904852;Cabaceiras do Paraguaçu;208;9
2904902;Cachoeira;360;4
2905008;Caculé;310;4
2905107;Caém;149;2
2905156;Caetanos;122;0
2905206;Caetité;676;5
2905305;Cafarnaum;241;3
2905404;Cairu;303;7
2905503;Caldeirão Grande;191;4
2905602;Camacan;345;8
2905701;Camaçari;3893;68
2905800;Camamu;570;9
2905909;Campo Alegre de Lourdes;516;9
2906006;Campo Formoso;1122;14
2906105;Canápolis;128;1
2906204;Canarana;306;5
2906303;Canavieiras;431;6
2906402;Candeal;62;2
2906501;Candeias;975;22
2906600;Candiba;169;3
2906709;Cândido Sales;341;4
